name,primary_type,all_types,phone,website,address,rating,reviews,status,maps_url,place_id
My Trip Cab,taxi_service,taxi_service|car_rental|tour_agency|travel_agency|transportation_service|service|point_of_interest|establishment,096259 78500,https://www.mytripcab.com/,"Sector 52 Krishna Complex Shop No 2 Near Yadav Aata Chakki Wazirabad Gurgaon 122003, Wazirabad, Sector 52, Gurugram, Haryana 122098, India",4.8,229,OPERATIONAL,https://maps.google.com/?cid=6185556022955298262&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJO2Wfl6MYDTkR1k2HLm6C11U
Gurgaon tmt steel dealer,manufacturer,manufacturer|point_of_interest|establishment,,http://www.buildmakaan.com/,"12, Sector 62, Gurugram, Haryana 122001, India",5,1,OPERATIONAL,https://maps.google.com/?cid=2248745364054202015&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ4U3quPkjDTkRn9bBhv4lNR8
Swastik Traders,building_materials_store,building_materials_store|store|point_of_interest|establishment,094682 53824,,"12, Sector 62, Gurugram, Haryana 122098, India",5,1,OPERATIONAL,https://maps.google.com/?cid=6749087650387141285&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJWxfHxJEjDTkRpSJNt3WTqV0
Radiant Rides Car Workshop and Detailing Studio,car_repair,car_repair|service|point_of_interest|establishment,072506 11427,https://www.youtube.com/@Radiantrides62,"Indian oil pump, near aipl business, Sector 62, Gurugram, Haryana 122098, India",4.2,5,OPERATIONAL,https://maps.google.com/?cid=1699882535485896062&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJoWFO_fkjDTkRfvWG3ygylxc
jai Shree Laxmi enterprises,point_of_interest,point_of_interest|establishment,092124 65481,,"93WR+VW2, Sector 62, Gurugram, Haryana 122098, India",4,3,OPERATIONAL,https://maps.google.com/?cid=5558425320879933984&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ7au2gBkjDTkRIMqVKWF-I00
Car Wash Sector 62,car_wash,car_wash|service|point_of_interest|establishment,,,"12, Sector 62, Gurugram, Haryana 122098, India",3.7,3,OPERATIONAL,https://maps.google.com/?cid=9543114334177756794&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJLfdMMAAjDTkReoaa4-zzb4Q
IndianOil,gas_station,gas_station|service|point_of_interest|establishment,097119 44944,https://locator.iocl.com/indianoil-shree-palturam-sons-petrol-pump-sector-62-gurugram-226034/Home?utm_source=locator&utm_medium=googleplaces,"No 20, South City 1, 2/1/2, Ullawas Dhani Rd, Sector 62, Gurugram, Haryana 122098, India",3.5,111,OPERATIONAL,https://maps.google.com/?cid=10109534075184629327&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJj7M_9BMjDTkRT0YWxK1HTIw
GoMechanic - ROYAL DETAILING AND CAR WORKSHOP,car_repair,car_wash|car_repair|service|point_of_interest|establishment,072506 11427,https://srd1.onelink.me/7EYj/GMB,"Indian oil petrol, near Aipl Business Club, Sector 62, Gurugram, Haryana 122002, India",4.6,76,OPERATIONAL,https://maps.google.com/?cid=16969746787013997034&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJQya25UkjDTkR6rFLEMumgOs
S A H Pollution Centre,car_repair,car_repair|service|point_of_interest|establishment,079823 57772,,"Pollution Centre, Sector 62, Gurugram, Haryana 122098, India",3,2,OPERATIONAL,https://maps.google.com/?cid=11713186219231389193&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJd4erGFsjDTkRCaZJqc6YjaI
ICICI BANK ATM,atm,atm|finance|point_of_interest|establishment,1800 1080,https://www.icicibank.com/,"ICICI Bank ATM, Unit No. 6 & 7, AIPL Business Club, Golf Cou rse Extension Road, Medawas, Sector 62, Gurugram, Haryana 122002, India",,,OPERATIONAL,https://maps.google.com/?cid=12557625970915646309&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJB7Tcc0EjDTkRZZulkkmmRa4
Digitup Solutions Pvt. Ltd.,,service|point_of_interest|establishment,092059 87106,https://digitup.com/,"Unit 0001, 13th Floor, Imperia Mindspace, opposite Aipl Business Club, Sector 62, Gurugram, Haryana 122001, India",4,8,OPERATIONAL,https://maps.google.com/?cid=4640683950221080873&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJ-QWVqKojDTkRKbnIH3cFZ0A
Javi Systems India Pvt. Ltd.,,service|point_of_interest|establishment,084476 52632,https://javisystems.com/,"6th floor, Imperia Mindspace, Golf course Extn, 62 C-2, Road, Sector 62, Gurugram, Haryana 122098, India",3.6,7,OPERATIONAL,https://maps.google.com/?cid=790246853013782276&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJU2BXskAjDTkRBL_BblOF9wo
Wow Sandwiches,restaurant,restaurant|food|point_of_interest|establishment,,https://www.swiggy.com/direct/brand/15641?source=swiggy-direct&subSource=generic,"Tower-B, Imperia Mindspace, Sector 62, Gurugram, Haryana 122098, India",,,OPERATIONAL,https://maps.google.com/?cid=13751404764630088823&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJSTEVDQAjDTkRd_xjfsbN1r4
HDFC Bank ATM,atm,atm|finance|point_of_interest|establishment,1800 1601,https://www.hdfc.bank.in/branch-locator/haryana/gurugram/hdfcbank-atm-imperiamindspaceatm,"Shop No 17, 20, GF, Imperia Mindspace, to, Golf Course Extension Road, Sector 62, Gurugram, Haryana 122098, India",5,1,OPERATIONAL,https://maps.google.com/?cid=13725167452386587916&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJuxCRFU4jDTkRDHVBMhSXeb4
Imperia MindSpace,general_contractor,general_contractor|service|point_of_interest|establishment,011 4646 9999,http://www.imperiastructures.com/,"7th floor, Imperia Mindspace, Golf Course Ext Rd, behind Aipl Business Club, Sector 62, Gurugram, Haryana 122098, India",4.5,124,OPERATIONAL,https://maps.google.com/?cid=5393673294678579582&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,ChIJq6qqqhUiDTkRftnT20gt2ko
