Business Name,Primary Type,Phone,Rating,Reviews,Address,Maps Link,Website
Claypot Kitchens,north_indian_restaurant,093112 12800,4.9,455,"SCO-23, Housing Board Shopping Complex, opposite Maruti Vihar Exit Gate Road, near Mehrauli-Gurgaon Road, Saraswati Vihar, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5644307322043600528&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
BFFbites -cloud kitchen,north_indian_restaurant,098701 29142,5,2,"Friends colony, Ashram chowk, Bhondsi, Maruti Kunj, Gurugram, Haryana 122102, India",https://maps.google.com/?cid=8156956847417395760&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Housewives kitchen,store,096540 03419,4.6,409,"Shree Ram Complex, Building 3, 2, C-Block, above Nirulas, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=6411650309954744856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Kalakaari,north_indian_restaurant,099900 70307,4,35,"Vijay Complex, A Block Main Rd, Chanderlok, DLF Phase IV, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=5604507333598893959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.kalakaarikitchen.com/
Aamar Cloud Kitchen,indian_restaurant,087960 88249,4,1,"House 647, Chakkarpur, near Radha Krishna Mandir Road, sector 28, Kapas Hera, Gurugram, New Delhi, Delhi 110097, India",https://maps.google.com/?cid=4853157775225987452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Hema's Cloud kitchen,food,085955 31610,5,17,"Sector 76, Gurugram, Haryana 122012, India",https://maps.google.com/?cid=13212796133169891160&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
kuldeep cloud kitchen,indian_restaurant,,4.1,9,"H no C112, Sai Kunj New Palam Vihar, A, Lane No. V-28, Sai Kunj, Block A, New Palam Vihar Phase 3, Sector 110A, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=17165113561293657833&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Chef king Cloud Kitchens & Restaurant Pvt.Ltd,fast_food_restaurant,098127 06320,3.7,20,"1 Bhangrola Road Bass Gaon, Sector 15, Imt Manesar, Gurugram, Haryana 122505, India",https://maps.google.com/?cid=2436895652090317802&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
"Cavaza - Indian, Continental & Chinese food cloud kitchen",restaurant,085952 28292,5,12,"Booth 40/38, HUDA Market, Islampur Colony, Sector 38, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=2364781863643616008&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.cavaza.in/
Maharashtra Non Veg Delight (Cloud kitchen),restaurant,077095 78829,,,"A9, Amichand Colony, Aya Nagar Extn, Phase 2, Aya Nagar, New Delhi, Delhi 110047, India",https://maps.google.com/?cid=9707665352170457313&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Jina's Kitchen,restaurant,077680 07775,4.9,13,"1402A, Maruti Vihar, Maruti Housing Colony, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10440329696957486387&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
RestroMark - Cloud Kitchen Marketing & Restaurant Consultancy Experts,service,,5,1,"Level 1, Building No 10A, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=12093103239506008107&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://restromark.com/
Sovic's Kitchen | Best Cloud Kitchen in Delhi,restaurant,098104 68377,4.9,66,"Krishna Market, Block E, Lajpat Nagar I, Lajpat Nagar, New Delhi, Delhi 110024, India",https://maps.google.com/?cid=4713762746455668522&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
The Clay Platter,restaurant,099535 40750,4.9,12,"shop 4, Zone 6, Ashok Vihar Phase 2, near Hanuman Mandir Marg, Old, Gurgaon Rural, Gurugram, Haryana 122006, India",https://maps.google.com/?cid=8806614810372795176&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Khameera - Artisanal Pizzas | Cloud Kitchen - Pizza Delivery in Gurugram,pizza_delivery,099711 23444,4.5,8,"Second floor backside, H-16/6, Sikanderpur, DLF Phase 1, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5391711352249375998&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Khameera - Artisanal Pizzas | Cloud Kitchen - Pizza Delivery in Gurugram Sec - 51,pizza_delivery,095990 80168,5,2,"Shop No. 6 & 7, behind Ocus Technopolis, Samaspur Village, Sector 51, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=11484179917836956807&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.khameera.com/
Saravana Bhavan (Cloud Kitchen),south_indian_restaurant,0124 447 7740,2.8,109,"C374+523, Sector 49, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=4943604356282630793&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Balji Rasoi,meal_delivery,098996 03724,4.8,89,"Sector 40 198, Sector 40, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=926955848740941806&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.swiggy.com/city/gurgaon/balji-rasoi-cloud-kitchen-urban-estate-huda-city-rest711723
Hoi Foods,meal_delivery,099991 03380,3.5,76,"76F, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015, India",https://maps.google.com/?cid=2680319816864565688&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Cyber Hub SOCIAL,bar,092280 35641,4.3,12195,"Ground Floor, DLF Tower, W 10 Rd, DLF Cyber City, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=17813582100991630548&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://socialoffline.in/restaurant/cyber-hub-social/
Gargi Cloud Kitchen,meal_delivery,,,,"Tigra, Sector 57, Gurugram, Haryana 122011, India",https://maps.google.com/?cid=408246784725735094&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Shri Hari Cloud Kitchen,association_or_organization,,,,"373/4, Ram nagar, Arjun Nagar, Sector 8, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=10749836821435070959&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
T.O.O.K The Olive Oil Kitchen,mediterranean_restaurant,096544 57626,4.5,37,"2nd Floor,Vijay Complex, Vakil market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=1480514838072136247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Zayka Of Indore (Cloud Kitchen),restaurant,,5,2,"Riddhi Siddhi Tower-3, Gurugram, Haryana 122505, India",https://maps.google.com/?cid=12679603653554866710&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Lettuce Meet,restaurant,092207 38844,4.9,40,"Ground floor, A-Block, A303 A, Phase 1, Sector 28, Sushant Lok Phase I, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=18082435291900255902&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Tahini - Middle Eastern Kitchen,middle_eastern_restaurant,098171 75050,2.8,81,"LG 26, South Point Mall, DLF Phase 5, Sector 53, Gurugram, Haryana 122011, India",https://maps.google.com/?cid=8616921685784392185&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.tahinidelivery.com/
"DLF CyberHub (Gurugram, Haryana)",business_center,095994 00502,4.7,77304,"Ground Floor, Building, 10C, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3397972214007736897&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.dlfcyberhub.com/
Punjab Grill DLF Cyber Hub,north_indian_restaurant,081305 94447,4.8,7537,"Shop 19, Ground, Cyber City, DLF Tower 10th Rd, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=3118023690840397409&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://stores.lbf.co.in/store-pages/punjab-grill-cyber-hub-gurugram-gurgaon/
Mustard Madras - Cyber Hub,south_indian_restaurant,097739 94884,4.8,2222,"Dlf Cyber Hub, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=7337015813519165777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://mustardmadras.com/
"DLF Cyber City, Gurugram",business_center,091109 91348,4.6,5466,"DLF Gateway Tower, DLF Cyber City, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=9366933535543992508&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.dlf.in/offices/gurugram/dlfcybercity
"DLF Atria, Gurugram",business_center,0124 410 4121,4.5,602,"Block Q, DLF ATRIA, 79, Gulmohar Marg, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5527352968808697383&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.dlf.in/offices/gurugram/dlf-atria
"tbsp. - Tablespoon / Pizza, Pasta, BBQ",italian_restaurant,098210 02554,4.5,310,"Shop No. 21, Ground Floor, Dlf Cyber Hub, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=5907539467531815147&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://tbsp.in/
Farzi Cafe,indian_restaurant,088006 90419,4,3899,"Ground Cyber Hub, 7-8, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1744681727668558123&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
"DLF Building 9B, Cyber City Gurugram",corporate_office,0124 456 8900,4.6,1232,"DLF Building Number 9B, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=10048624129446709557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.dlf.in/offices/gurugram/dlfcybercity
The Kitchens,restaurant,,4.6,109,"Global Gateway Towers, Mehrauli-Gurgaon Rd, Sikanderpur, Sector 26, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=18268923892363625036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Anmol Cloud Kitchen,meal_takeaway,093151 60949,4.7,139,"Rd Number 2, K-Block, Mahipalpur Village, Mahipalpur, New Delhi, Delhi 110037, India",https://maps.google.com/?cid=18230046667970662268&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
247 cloud kitchen,food_store,095204 42470,4.9,131,"Subhash Nagar, Bharu Wala Grant, Dehradun, Uttarakhand 248002, India",https://maps.google.com/?cid=16436880031828240334&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://247cloudkitchen.in/
The Royal Chefs Kitchen,indian_restaurant,075033 33392,5,123,"356, Golf Course Rd, near Rapid Rapid Metro Station, Sector 28, Chakkarpur, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=13888909205416089151&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Home cooked food by Rohini's Kitchen,meal_delivery,097169 21461,4.9,61,"GX6P+PQ4, Experion Heartsong, Sector 108, Gurugram, Haryana 122006, India",https://maps.google.com/?cid=28872017546303727&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://linktr.ee/Rohini_Kitchen
Mun’s Kitchen,food_store,087004 86612,4.9,39,"T, near Lohmod House, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=4273426180896702702&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Kitchen of RA (24 X 7),restaurant,073039 92892,4.8,193,"Shop No. 1, Crossroads Complex, NR27, DLF Phase 3, Sector 24, Gurugram, Haryana 122010, India",https://maps.google.com/?cid=2667570559280933294&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Rozy kitchen(Home cooked food with superior quality and hygiene),food_store,074948 10698,4.9,20,"House no. 744, near Unitech Tower, Durga Colony, Sector 39, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=13541802123779141666&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Daily Eats,food_store,083686 41059,4.3,161,"Jal Vihar Colony, Sector 46, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=1166114998995972798&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://dailyeats.in/page/PrivacyPolicy
THE FAMILY KITCHEN TIFFIN SERVICE,food_court,,5,30,"Gali Number 1, West Rajiv Nagar, Sector 12, Gurugram, Haryana 122001, India",https://maps.google.com/?cid=1626841712286755231&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
A Tuck Innn Home Kitchen,food,098113 36391,4.7,55,"2253, Sector 23 Rd, Sector 23, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=15940597658777390453&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Daily Ghar Ka Khana,restaurant,099686 34349,4.8,16,"615, Housing Board Colony, Sector 17A, Sukhrali, Gurugram, Haryana 122007, India",https://maps.google.com/?cid=13108923263159138368&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://wa.me/c/919968634349
We The Chefs,meal_delivery,088009 88490,4.8,144,"926, Sector 51, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=9100811075979940214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.wethechefs.in/
GR's Kitchen and Catering Services,north_indian_restaurant,084482 14495,4.7,126,"4, Ardee Mall Rd, Block B, Block C, Ardee City, Sector 52, Gurugram, Haryana 122003, India",https://maps.google.com/?cid=5638317333946110570&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Bhawana's Kitchen,breakfast_restaurant,098999 46094,4.8,38,"Rezang La Marg, Block F, Carterpuri Village, Choma, Gurugram, Haryana 122017, India",https://maps.google.com/?cid=7689031133674562308&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.bhawanaskitchen.com/
Shree Jee Food Kitchen,restaurant,092116 67060,5,30,"Hong Kong Bazaar, Block G, Sushant Lok 2, Sector 57, Gurugram, Haryana 122011, India",https://maps.google.com/?cid=10697959104918331964&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Annie’s Home Kitchen,bakery,093112 21132,4.9,151,"JoyVille Shapoorji Housing, Sector 102, Gurugram, Haryana 122505, India",https://maps.google.com/?cid=8377629289331292426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://annieshomekitchen.com/
Mir's Kitchen,food,099994 47573,4.9,57,"504, 1st Floor, Chauhan Complex, outside, orris society, near Iris Broadway, Sector 85, Gurugram, Haryana 122004, India",https://maps.google.com/?cid=14353032693670213555&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://chat.whatsapp.com/BTC1JBFUybE9VdIDpuCADI
Nona's Kitchen,meal_takeaway,082875 43191,4.5,515,"DLF, Park Dr, DLF Phase 5, Sector 54, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=1315774096176555442&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
NP Kitchen Food Service,restaurant,,4.7,23,"3003,basement, near Galleria Market, Sector 28, DLF Phase IV, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=17392885549178797857&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Vintage Kitchen,italian_restaurant,099905 23366,4.3,233,"U-14a/1, Galli No 14a, U Block, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India",https://maps.google.com/?cid=632380656936409034&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Mumma's Kitchen,north_indian_restaurant,093091 63321,4.5,10,"1652, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=4770041647689004265&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://zoma.to/r/19753166
Our Wholesome Kitchen - by Adults with Autism,meal_delivery,,5,3,"1404 , Tower 6, Giza tower, Orchid Petals, Sector 49, Gurugram, Haryana 122018, India",https://maps.google.com/?cid=6512915563058097641&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
Chef Pin,meal_delivery,098992 99883,3.8,12,"Suite 611, 6th, Global Foyer Mall, Golf Course Rd, Sector 43, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=2157602322802412310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,https://www.chefp.in/
Chef Kenzo - Food Delivery and Catering,restaurant,090969 07042,4.4,22,"D-121 GF Sushant Shopping Aracde, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India",https://maps.google.com/?cid=2489469993660234587&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,http://www.chefkenzo.com/
Spicy Kitchen,fast_food_restaurant,084481 80420,5,11,"Shop No. 1, near Jaguar Authorised Dealer, Islampur Colony, Sector 38, Gurugram, Haryana 122005, India",https://maps.google.com/?cid=15770802291502478644&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,
